,title,answer_count,follower_count,detail_text
0,美团外卖总经理称「75% 增量订单实付不足 15 元」，如何评价外卖行业面临的这一问题？,124,239,358w
1,网友称航班行李架起火备降上海浦东，国航回应「系锂电池自燃，未出现人员受伤」，具体情况如何？,36,88,272w
2,S15 瑞士轮1-1组 BLG不敌G2命悬一线，这场比赛BLG输在哪？,35,38,181w
3,女子称入住亚朵酒店遇离谱「走光」，落地窗贴了单向膜室外能清晰观看室内，这种情况能要求酒店赔偿吗？,44,136,176w
4,为什么身为 LPL 一号种子的 BLG 战队会在 S15 瑞士轮表现如此差劲？,33,41,170w
5,你离物理学家杨振宁最近的一刻是什么时候？对于杨振宁先生你有哪些记忆？,48,115,168w
6,怎样看待杨振宁称中国教育缺乏「渗透」学法？这种学法有哪些优势？,53,448,167w
7,"战争中为了保命,为何很少人将尸体压在自己身上装死？",208,629,166w
8,物理学家、诺贝尔物理学奖获得者、中国科学院院士杨振宁先生逝世，享年 103 岁，他有哪些贡献值得铭记？,1941,5588,151w
9,为什么国内外一些超级大牛仍然会发Scientific reports，plos one等“水刊”？,31,86,136w
10,何立峰与美国财政部长贝森特、贸易代表格里尔举行视频通话，同意尽快举行新一轮经贸磋商，哪些信息值得关注？,239,786,107w
11,deepseek本地部署能做到阅读几百万字文本吗？,20,192,107w
12,如何评价综艺《喜人奇妙夜》第二季第四期的作品《三顾茅庐》？,50,59,103w
13,杨振宁曾说自己最大贡献不是获诺奖，而是帮国人克服不如人的心理，这一点你有哪些感触？,160,502,101w
14,央视曝光多地用户遭遇共享单车骑行中自动锁车，为什么会自动锁车？用户因此发生意外该由谁担责？,18,45,99w
15,如何看待男子从尼泊尔回国，手机遭运营商「保护性关停」？这种操作合规吗？,107,249,99w
16,清华方璐团队研发全球首款亚埃米级快照光谱成像芯片「玉衡」，成果发表 Nature，该芯片有哪些亮点？,16,187,99w
17,中国古代为什么鲜有太阳神崇拜？,31,44,72w
18,原神玩家们如何看待菲林斯这一角色？,34,33,72w
19,大家怎么看待杨振宁呢？,26,51,72w
