,title,answer_count,follower_count,detail_text
0,国家对成品油价格采取临时调控措施，全国平均每升少涨 0.85 元左右，意味着什么？,379,792,1490w
1,大量用户反馈被美团删除相册照片，客服回应称是插件冲突，真的是这样吗？为什么 App 能删用户的照片？,60,235,287w
2,如何看待华为 3 月 23 日举办的春季新品发布会？有哪些信息值得关注？,41,89,244w
3,新能源车渗透率都过50%了，为什么我就没见过专修新能源车的修理厂？,1234,2760,178w
4,英媒称「全球能源危机来袭，中国多年布局终见成效」，为什么这样说？中国的能源储备是什么水平？,360,1365,139w
5,伊朗否认与美国沟通，此前特朗普称已与伊朗对话，将推迟五天打击伊朗发电站，如何看待此事？战争要结束了吗？,684,1452,136w
6,雷军官宣小米与国内三大顶级汽车赛事正式签约，这释放了怎样的信号？对小米汽车的品牌定位有何意义？,56,177,133w
7,央视曝光活鱼麻醉剂滥用乱象，为什么活鱼运输会用到「三无」丁香酚、工业酒精？吃到这样的鱼会有什么风险？,47,201,112w
8,瞿颖因「不想上班」言论翻红，经纪人婉拒工作，这反映了她怎样的职场心态？,43,135,99w
9,为什么中英文「屎」的发音这么近似？,41,184,99w
10,3 月 23 日 沪指大跌一度失守 3800 点，全市场近 5200 股下跌，如何看待今日行情？,588,1234,99w
11,美以袭击伊朗进入第 24 天，当前局势如何？还有哪些信息值得关注？,563,1362,99w
12,中国驻以使馆再次提醒在以中国公民摒弃侥幸心理，尽快回国或撤离，目前当地情况如何？会迎来更大规模冲突吗？,189,580,99w
13,香港发生亿元黄金劫案，5 人在金行抢走 73 公斤金条，嫌疑人均已被拘捕，具体情况如何？,62,198,99w
14,西湖醋鱼和北京豆汁公认的难吃，是靠什么流传至今的？,105,161,99w
15,携程、京东、抖音等十二家企业被约谈，集中通报平台「内卷式」竞争问题，哪些信息值得关注？,28,61,99w
16,为什么m1911只比转轮手枪多一发子弹却至今受到很多美国军人警察喜欢？,53,83,81w
17,美被曝考虑地面行动夺取伊朗哈尔克岛，成功夺取的可能性有多大？若行动可能将美伊局势推向何方？,177,348,78w
18,为什么现在很多人不重视肌肉的增加与保持？,41,68,76w
19,尚界 Z7 预售 22.98 万起，全系标配华为 896 线激光雷达等黑科技，你有哪些期待？,279,351,75w
