,title,answer_count,follower_count,detail_text
0,国家发改委表示要注意防范重复度高的人形机器人产品扎堆上市，我国已有超150家人形机器人企业，如何解读？,249,743,728w
1,股民求助「主力求您拉个涨停，孩子生病钱不够」，襄阳轴承直线涨停，如何看待这种情况？,185,311,662w
2,以前的人养孩子感觉很随意，现在为什么要这么细致养孩子？,355,790,235w
3,比亚迪召回约 9 万辆秦 PLUS DM-i，因动力电池包一致性存在问题，可能有哪些安全隐患？,72,228,220w
4,《疯狂动物城 2》有哪些细思极恐的细节和隐喻？,27,66,177w
5,上映 3 天，《疯狂动物城 2》票房连破 10 亿，你去影院看了吗？首周末票房能到多少？,34,53,173w
6,如何评价美团发布的新上下文级联压缩技术（C3）？,16,170,145w
7,有人说“所有岗位都可以混进去再学”，请问适用于技术岗吗？,162,527,129w
8,美团2025年Q3季报出炉，本地市场业务亏损约141亿，低于京东和阿里，如何评价其在外卖大战中的成果？,24,47,120w
9,宇宙有没有可能是一个巨人的细胞？,1631,13376,118w
10,华为麒麟9030处理器是什么水平？,102,260,116w
11,到底有多少人看懂了《让子弹飞》，为什么我看不下去？,96,296,114w
12,为什么同样的产品，贴个大牌logo就能卖贵10倍？,47,61,74w
13,《一人之下》吕良是不是坏人？,18,24,73w
14,孙悟空偷吃仙丹时，兜率宫的青牛精为何不阻拦？,45,55,69w
15,网传百度开启裁员，赔偿方案达 N+1.5 至N+3.5 且涉及应届生，是真的吗？具体情况如何？,274,981,59w
16,现存生物类群中有哪些缺乏近亲，与其它生物关系极远？,15,80,59w
17,如何看待樊振东最新采访「一些有组织的饭圈行为给人压力空前」，「不理解奥运会后做啥都是错的」？,106,299,58w
18,如何评价鸿蒙操作系统 6？对科技行业自主可控有哪些现实意义？,27,63,58w
19,最新考古科研证实石峁文化人群主体源于陕北仰韶晚期人群，这一发现对中国史前文化研究有哪些重要意义？,30,157,58w
