,title,answer_count,follower_count,detail_text
0,如何看待 11 月 17 日印度成功进行远程高超音速导弹飞行试验？,387,796,1406w
1,中国未来是否会向「巨型城市」或「巨型都市圈」方向发展？,113,422,334w
2,女病毒学家患乳腺癌，给自己注射病毒后肿瘤缩小， 45 个月未复发，真实情况如何？病毒疗法实际效果如何？,29,220,259w
3,清朝和日本都是封建国家，都是儒家文化根源的国家，为什么都是政治改革，日本成功了，而清朝却失败了？,202,341,230w
4,为什么我觉得现代战争里无人机是骗局？,112,181,208w
5,如果螳螂变成250公斤，它能猎杀东北虎吗？,33,40,163w
6,如何看待月之暗面发布对标 OpenAI o1 的推理模型 k0-math？,26,223,134w
7,如何评价电视剧《永夜星河》大结局？,43,53,132w
8,如何评价丘成桐说鸡兔同笼问题，小学生不要用繁琐的《九章算术》解法，就用方程，干脆简单？,43,80,129w
9,山东济宁万象汇一女孩从四楼坠落身亡，商场设施是否过关？商场需要承担哪些责任？,26,51,125w
10,超级中学和普通中学有什么区别？,98,162,83w
11,李自成在山海关之战后应该怎么做？,21,31,74w
12,知情人士称「美政府已允许乌克兰使用美国武器袭击俄境内纵深目标」，将对俄乌局势带来哪些影响？,24,33,70w
13,日械适合民国列装吗？,25,29,59w
14,苏-57 机动性能惊人，为什么却说落伍了？,43,61,57w
15,怎么学会更好地控制自己的情绪呢？,84,121,50w
16,如何评价大连近年来的城市规划？,47,234,49w
17,为什么有人说弄懂了《算法导论》的 90%，就超越了 90%的程序员？,469,6493,25w
18,老板十分敬业，大事小情事无巨细都亲力亲为，比普通员工都忙，这样的老板可以追随吗？,161,354,9w
19,如何看待日本的婿养子制度?,44,148,3.5w
