,title,answer_count,follower_count,detail_text
0,特朗普称美国完成对伊朗三处核设施的打击，具体情况如何？伊朗会如何反击？,915,1872,10585w
1,如何看待英雄联盟前职业选手mlxg官司输了，被强制执行2500w？,46,101,478w
2,武磊在西班牙巴塞罗那进行了二次手术，是因为华山医院运动医学科技术不行吗？,22,47,265w
3,美军 B-2 轰炸机参与袭击伊朗核设施，B-2轰炸机战斗力如何？会摧毁伊朗核设施吗？,135,266,264w
4,7人高速飙摩托车，最高至304km/h，被吊销驾驶证，1人为宝妈，如何看待此事？,164,264,262w
5,6 月 21 日「苏超」第五轮南京队 4-0 战胜常州队，如何评价这场比赛？,442,639,207w
6,官方通报那尔那茜涉嫌高考报名材料造假，造假链条涉及哪些环节？此事将如何追责？,54,96,207w
7,美国打击伊朗 3 处核设施，美国为什么此时介入？中东局势会升级吗？,94,213,207w
8,电影《无名之辈》第二、三部分别定档 7 月 5 日与 12 月 31 日上映，你对这两部电影有何期待？,73,139,206w
9,能否交换一张照片，分享一个让你觉得「仿佛回到了暑假」的瞬间？,269,544,201w
10,为什么以前的大学生会主动听那些讲得好的老师的课，而现在基本没有了？,86,212,195w
11,西安一商场大屏播放巨大电风扇，这真的能起到「望扇止暑」效果吗？还是单纯营销创意？,65,215,169w
12,2025年wta500柏林站女单半决赛，王欣瑜2:0轻取萨姆索诺娃，怎么评价王欣瑜这一站的精彩表现？,18,25,146w
13,台湾一高中生继承上亿遗产，结婚当天坠亡，其婚姻被判无效，如何看待此事？,166,843,138w
14,以色列空军称已摧毁伊朗约半数弹道导弹发射装置，对伊朗影响如何？伊朗还能支撑多久？,85,224,135w
15,令狐冲没有对不起林平之，林平之为何对他恨之入骨？,39,57,132w
16,周杰伦被曝现身日本弯腰驼背似老人，是真的吗？他曾称患有强直性脊柱炎，这病对身体影响有多大？能治好吗？,123,607,97w
17,多个充电宝或电芯品牌的 3C 认证证书被暂停，涉及罗马仕、安克、绿联、倍思、安普瑞斯等，发生了什么？,163,677,88w
18,中国在战国时期打仗就动不动几十万人，是不是夸大十倍的结果?,22,27,87w
19,《酱园弄·悬案》中雷佳音饰演的局长为什么一定要弄死詹周氏？,19,26,84w
