,title,answer_count,follower_count,detail_text
0,旅行者1号已经飞到了太阳系边缘，它为何还能与地球通讯？,66,393,637w
1,如何看待吉利控股集团2025年销量411.6万跃居世界第六？,42,171,282w
2,携程深夜误发大批离职通知短信，如何评价这一乌龙事件？你如果收到这样的短信，第一反应是什么？,41,135,267w
3,为什么孙楠、韩红版的《美丽的神话》被成龙金喜善版爆成渣呢？,898,1421,192w
4,如何评价「歼 10CE  首次取得实战战果」入选 2025 年度国防科技工业十大新闻？,83,242,155w
5,中国乒协拟聘秦志戬为国乒总教练、肖战为副总教练，如何看待这一配置？他们能为国乒带来哪些具体变化？,311,476,137w
6,银行短期大额存单利率进入「0字头」，你还会把钱存在银行吗？普通老百姓的钱该去哪儿？,35,151,119w
7,日媒称高市早苗或解散众议院提前大选，原因有哪些？她会成为日本最短命的首相之一吗？,97,240,116w
8,华语电影《流浪地球3》招揽沈腾、马丽进组，究竟基于何种战略考量而为之？,110,167,113w
9,1 月 12 日三大指数均涨超 1%，两市成交额 3.6 万亿元创历史新高，如何看待今日行情？,312,690,110w
10,为什么动画作品中有尾巴的角色其尾巴默认是裸露在外的？对于有尾巴的物种，会发展出“尾巴套”一类衣饰吗？,17,27,106w
11,美军称突袭委内瑞拉时使用「特殊专长」，让全城大规模断电发动突袭，这种「电力战」是如何发动的？,64,216,105w
12,为什么很少听说有鸟类之间的杂交和爬行类动物之间的混血，它们种族的生殖隔离很严重吗？,39,223,103w
13,对中国免签的国家有哪些，这些国家值得去吗？,16,69,86w
14,缅甸宣布 KK 园区彻底清零，635处诈骗据点被夷为平地，是真的吗？除了炸楼之外还有哪些更治本的方法？,147,426,83w
15,伊朗已有超百名安全人员在骚乱中丧生，美国将讨论干涉方案，骚乱的根本原因是何？美国或将从哪些方面干涉？,200,456,81w
16,武大靖曾自曝从床爬到洗手间要半小时，为什么会这么严重？短道速滑对腰的伤害有多大？,15,67,76w
17,如果领导想提拔你，会有什么表现呀？,15,47,66w
18,我想写一个demo级别的编译器，我是该用C语言实现还是用nodejs实现？,34,167,64w
19,美联储主席鲍威尔被刑事调查，具体情况如何？他会提前结束任期吗？,515,1554,59w
