,title,answer_count,follower_count,detail_text
0,财政部推出一揽子财政增量政策，包括发行特别国债支持国有大型商业银行补充资本等，释放什么信号？,1126,3220,2078w
1,网红「东北雨姐」虚假宣传被罚 165 万，所售粉条厂家被罚 671.76 万，此事暴露出哪些问题？,154,273,280w
2,如何看待小猿口算被大学生攻陷？,82,178,246w
3,财政部称本专科生国家奖学金标准从 8000 元提高到 1 万元，奖励名额也将翻倍，有哪些利好？,23,55,146w
4,日本梅毒病例激增，2024 年感染病例可能会连续第四年破纪录，可能是什么原因导致的？,31,80,144w
5,网传 2025 年春节档电影片单，其中包括《哪吒 2》《封神 2》《射雕英雄传》等，你最期待哪部？,47,62,105w
6,好失败大会｜你做过的最「炸裂」的一顿饭是什么样的？,23,31,80w
7,宇宙那么多星星，为什么夜空没有被完全照亮？,27,52,79w
8,两广的人真的不能吃辣吗？,115,135,68w
9,为什么 NPD 会认为「自己才是受害者」？,23,55,59w
10,丰田章男警告「转向纯电动汽车的未来将导致失业」，这句话有哪些深意？,106,161,59w
11,如何评价《喜剧之王·单口季》蒋龙的主持？,57,69,59w
12,鸡、鸭、鹅从1万米高空自由落体，会安全着陆吗？,425,869,54w
13,六大行公告存量房贷利率批量调整，降至 LPR-30BP，无需客户申请，有何影响？房贷每月将少还多少钱？,49,165,51w
14,有哪些日常护肤中的习惯实际「很伤脸」？,27,62,50w
15,为什么余则成会爱上翠平？,70,155,41w
16,如果将《CS：GO》里的 AK47 更换为 AK74，会发生什么事？,41,44,41w
17,现在的年轻人真的知道征信的重要性吗？,123,203,26w
18,如何在一年只有一次的天猫双 11，买到最具性价比的东西，避免不必要的智商税？,29,72,22w
19,晒黑后如何美白？,291,5056,18w
