,title,answer_count,follower_count,detail_text
0,辽宁朝阳老年暴走团逼停救护车、消防车出勤，具体是怎么回事？他们应该避让吗？,435,623,2129w
1,上海未来能否取代东京，成为亚洲第一大城市？,458,726,654w
2,市场监管总局约谈饿了么、美团、京东三家平台企业，要求外卖平台企业理性竞争，哪些信息值得关注？,298,644,395w
3,十年磨一剑，姜文新电影《你行！你上！》票房预测，你觉得有多少？,78,135,224w
4,为什么优秀的孩子更容易抑郁呢？,369,981,191w
5,特朗普宣布终止为加州高铁拨款，这是否意味着项目彻底失败？项目若想继续推进，需要解决哪些问题？,80,232,175w
6,如何评价 GAI 在《歌手 2025》第十期演唱的《故湘，风》？,38,47,158w
7,8月起丽江古城面向游客征收 50 元/人维护费，有效期为一年，征收依据是什么？会给客流量带来多大影响？,58,86,158w
8,性格内向劣势这么明显，为什么这种特质还要存在这个世界上?,206,728,154w
9,丽江徒步失联女生坠亡地遍地蚂蟥，其坠亡与蚂蝗有关吗？在野外遇到蚂蝗，应该怎么应对？,136,522,132w
10,宇树科技拟 A 股上市，已开启上市辅导，上市对宇树科技意味着什么？其在人形机器人赛道的商业化前景如何？,19,29,129w
11,为何nVIDIA不再推出5010、5030等低端500-1500元显示卡？,31,72,112w
12,3万人的体育场仅公开出售1万张票，如何看待「苏超」南通vs盐城未开赛先身陷票务风波？,139,339,108w
13,曹操和袁绍本是发小，为什么会发展到你死我活，曹操在袁绍死后还要对其儿子赶尽杀绝的地步？,31,43,107w
14,电影《长安的荔枝》中这荔枝是非吃不可吗？,18,17,89w
15,路边摊的「讨价还价」和超市的「明码标价」，哪种交易方式更高效？「信息对称」对交易成本的影响大吗？,25,59,78w
16,现在NBA中的重型中锋凋零了吗，中锋的出路在哪里？,90,126,68w
17,海底捞悄悄推出「夜店模式」，不仅能吃火锅还能看男模 DJ 打碟，如何看待这一创新？能帮其提升营收吗？,350,684,56w
18,如何评价古风真人恋爱影游《完蛋！我被美女包围了！2》，和第一部相比有突破和新意吗？,66,218,56w
19,宗泽后指责宗馥莉不够厚道，称愿出面振兴娃哈哈，宗泽后在此次风波中扮演怎样的角色？背后有哪些商业版图？,49,99,56w
