,title,answer_count,follower_count,detail_text
0,卡塔尔首都多哈发生爆炸，以军承认对多哈袭击事件负责，目前情况怎么样？以军为何袭击多哈？,996,1930,3884w
1,如何评价苹果 2025 秋季新品发布会，有哪些值得关注的信息？,356,814,3285w
2,一居民称其多个月水费都是 49.93 元疑有异常，工作人员回应该投诉属诬告已立案，真实情况到底如何？,99,144,277w
3,尼泊尔多地爆发大规模示威游行，中使馆发布安全提示，当地情况如何？游行背后有哪些深层次矛盾？,303,739,274w
4,父亲和女儿约定 1500 元大学生活费分三次发，每天主动联系还有「月底全勤奖」，如何看待这一做法？,233,448,272w
5,U23亚洲杯预选赛U22国足0:0逼平澳大利亚U23，两队携手出线，如何评价本场比赛？,36,45,149w
6,9 月 10 日苹果发布 AirPods Pro 3 耳机，较前代有哪些升级，值得入手吗？,22,38,144w
7,入睡时为何会出现身体突然抖动现象？其科学机制是什么？民间流传的“大脑怕你死了”的说法有依据吗？,34,148,135w
8,如何看待广州廖爸爸质疑学校家委会操作违规事件？,1556,3011,117w
9,有没有哪一件事让你想真心感谢自己的老师？,45,71,116w
10,小米王腾被辞退这件事有多严重？,105,354,116w
11,如何评价 9 月 10 日发布的 iPhone 17 系列，哪些升级值得关注？,156,326,116w
12,iPhone Air 国行版当前仅支持中国联通 eSIM 服务，为何 eSIM 在国内这么难普及？,114,289,116w
13,天津大学 PPT 引争议「天大只有两个真正意义的本科专业，其他像专科」，大学老师贬低其他专业常见吗？,34,87,115w
14,《亮剑》到底算不算是抗日神剧？,72,119,111w
15,iPhone17 发布，你会买吗？,62,91,102w
16,黑长直水手服美少女加一把刀的配置最早是什么时候出现的？,15,115,94w
17,特朗普政府切断科研经费，顶尖华裔数学家陶哲轩被迫紧急筹款，美科研经费困境有多严重？会产生哪些连锁反应？,219,658,91w
18,坚持健身 5 年，却确诊了肝硬化：自律为何成了健康的敌人？,234,425,91w
19,《英雄联盟》里的投降机制合理么？,38,43,81w
