,title,answer_count,follower_count,detail_text
0,「精神小伙」一篇《致我十年未见的妈妈》获赞 200 万，看完这篇文章你有哪些感触？,296,995,474w
1,"如何评价赛力斯问界2026年7月销量严重下滑，月销量不足21,000辆？",295,526,336w
2,OpenCode 发文称 DeepSeek 单日吞下 8 万亿 Token，传递出哪些信号？,134,517,313w
3,上海维也纳酒店客房遍布床虱，酒店反问为何不自行检查，卫生监督所称将立案处罚，谁的责任？床虱有哪些风险？,39,135,204w
4,如何看待24岁华尔街AI天才掌管450亿美元、以4倍杠杆极致梭哈AI硬件，最终遭华尔街「围猎」爆仓？,259,1102,200w
5,现在几千块钱音响的音质，是否能秒杀90年代初十几万的音响？,55,128,149w
6,玩了《英雄联盟》经典模式发现提莫从远古时代到现在技能组从未变化，他的技能有这么优秀吗？,18,32,134w
7,电脑手机小电驴全线涨价，「打工人三件套」同步抬价，如何看待普通人被迫缴纳 AI 税？,57,271,130w
8,比特币冷钱包被曝漏洞，超 1.1 亿美元资产被盗，看似最安全的「离线存储」为什么也会被偷？,17,63,112w
9,美日近 30 年来首次联手直接买入日元「围剿」空头，这是否能扭转日元长期贬值趋势？,65,152,112w
10,王楚钦男单世界排名断层第一，前五仅剩一位中国选手，国乒面临哪些挑战？,105,179,111w
11,歼-20 部队将「飞行二大队 20 分钟覆灭耻辱记」永久悬挂，这体现了怎样的军事管理和训练理念？,36,179,111w
12,哈啰电车突然落锁致大学生十级伤残，交警多次调取后台数据失败，数据调取为什么这么难？还能如何取证？,284,999,110w
13,女子举报法院执行局长骚扰索贿，官方通报通话录音确系本人，已停职，如何看待此事？,170,350,109w
14,如何看待《姐姐当家2》中房主任给小女儿举办的生日宴？,20,25,108w
15,仅仅国科大一家在学的博士生数量已经突破了3万，身处一个硕博狂飙的大时代，我们的下一代该怎么办？,165,572,103w
16,为什么《潜伏》里面说佛龛价值连城，明明佛龛一直在潜伏寸功未立，而且换回来之后基本就是个普通特务了？,48,160,102w
17,如何看待松岛辉空近日接受采访时说，只要拿到奥运会冠军，就算21岁，也会立即退役？,28,36,99w
18,猫头鹰为什么算是猛禽？,45,249,99w
19,如何评价仲树与导演诺兰围绕电影《奥德赛》展开的对谈？,47,159,98w
