,title,answer_count,follower_count,detail_text
0,审稿人强行要求引用 13 篇无关文章，中科院金属所在引言「硬刚」，如何评价这一行为？,45,220,744w
1,31 省份平均工资出炉，上海最高超 22 万元，非私营平均是私营约 2 倍，这一数据如何解读？,288,724,475w
2,如何看待宝蓝锐评「LPL十个教练有两个懂游戏就不错了，全是搞关系和表演的那种」？,29,47,154w
3,美团单车、哈啰单车在郑州暂停运营，为什么会停运？对出行影响有多大？,52,84,147w
4,第29届三星杯16强赛，柯洁执白不敌申真谞，如何评价本场比赛双方的发挥？,27,48,125w
5,《原神》6.0版本就是至冬了，制作团队会去俄罗斯取经吗，会不会有俄罗斯的大牛参与进来共创内容？,25,37,87w
6,新能源时代，燃油车还有哪些值得关注的点？,52,78,84w
7,全球奖杯第一人Hakoom近期表示自己被PlayStation官方封禁账号，如何评价索尼的这一决定？,18,30,83w
8,《小巷人家》为什么庄筱婷和林栋哲谈恋爱后，黄玲和宋莹相处反而不自在了？,15,19,75w
9,《再见爱人 4》嘉宾葛夕刘爽夫妇感情出了哪些问题？他们的婚姻还能继续下去吗？,42,65,64w
10,被泼开水女童返校书包现恐吓信「再发视频，要你全家不好过」，如何看待校园霸凌问题？该如何保护自己？,661,1235,61w
11,如何看待「人形机器人，终究还是泡沫」？,65,184,59w
12,江苏无锡京东物流园突发大火，京东辟谣十几亿元手机被烧毁，称存放物品为日常百货用品等，造成影响有多大？,1500,3299,57w
13,为什么现在相机竞争不过手机了？,556,747,54w
14,家里小孩最近非常喜欢天体物理，该怎么珍惜、引导孩子的这份喜欢？,68,115,54w
15,你想对物理学专业的人说些什么?,35,78,53w
16,珠海航展哪款武器会成为最耀眼的明星？,49,129,51w
17,如何看待阿根廷10月单月通胀率为2.7%，米莱的改革见效了吗？,464,914,50w
18,在海底捞点四个清水的行为是砸场子吗？,37,72,47w
19,为什么有人特别讨厌突如其来的变化？,27,48,43w
