,title,answer_count,follower_count,detail_text
0,2024 年全国幼儿园数量同比减少 2 万多所，民办学校减少 1.5 万所，如何解读？反映了哪些趋势？,57,107,304w
1,传北京多所高校禁用罗马仕充电宝，罗马仕称交由法务部门进行跟进，这到底是怎么回事？,123,300,301w
2,6 月 15 日苏超第四轮比赛，徐州 1:0 镇江，30823 人观战创纪录，如何评价双方表现？,206,394,299w
3,你认为有史以来最简单的高考数学题是哪一道题？,46,116,191w
4,工程师离职，如果领导让你们把自己的技术教会一个人才能走，你们会教吗？,110,136,158w
5,如何评价世俱杯首场比赛，孙杨作为嘉宾的解说效果？,39,60,124w
6,伊朗首次白天对以色列发动袭击，以总理家庭住所也是目标之一，目前局势如何？将会怎样发展？,131,244,114w
7,世俱杯小组赛，拜仁 10-0 奥克兰城，如何看待这场比赛？,21,26,105w
8,假如1998年公牛输了g6，抢七有可能会败吗？,18,25,86w
9,如何实现“科学控糖”？,92,334,80w
10,如何评价胡静在电视剧《人民的名义》中的演技？,43,404,79w
11,为何崔佛明明如此混乱邪恶，玩家结局却更愿意选择不杀他？,27,37,76w
12,为什么老师以前也是学生，可是等他们成为老师后，为什么就不能够理解学生了？,24,28,72w
13,线上故障如何快速排查？,20,73,71w
14,通勤时间只有10分钟，这属于好工作吗?,86,104,70w
15,凤凰传奇曾毅公开佩戴含有不雅元素的手表，这涉嫌违法吗？如何从法律角度解读？,328,480,67w
16,特朗普提交其任内首份公开财务披露报告，从加密货币平台获利 5736 万美元，哪些信息值得关注？,85,263,66w
17,2025 年高考报志愿，学长学姐们有哪些经验可以分享？,36,62,64w
18,以军向伊朗核反应堆和武器工厂周围发布撤离警告，伊南部城市传出巨大爆炸声，具体情况如何？局势会升级吗？,330,796,59w
19,报考基础学科「需要更大的勇气和更纯粹的热爱」，是不是指前途不太好？,36,61,59w
