,title,answer_count,follower_count,detail_text
0,大学生因一顿烧烤进 ICU 换了 5 次血，确诊为吉兰-巴雷综合征，诱发的因素有哪些？如何治疗？,49,335,528w
1,华为三折手机超 267 万人预定，二手渠道价格炒至 8 万，为何如此火爆？是谁在抢？产品竞争力如何？,616,926,471w
2,如何评价 Apple 2024 秋季新品发布会，有哪些值得关注的信息？,47,79,407w
3,河北男孩骑行被碾压案司机妻子微博清空，家属回应「不便透露原因」，此案目前进展如何？,446,1069,359w
4,据财政部， 2023 年全国彩票逾期未兑奖奖金达 17.78 亿元，为何有这么多弃奖？弃奖奖金去哪了？,140,392,312w
5,叶军团队张传坤的「核钟」研究登上 Nature封面，业内称之为「诺奖级成果」，该成果将带来哪些影响？,42,351,171w
6,《黑神话：悟空》会成为神作吗？,113,115,77w
7,这个世界，工作态度比工作能力更重要，对吗？,115,115,67w
8,如何评价综艺《心动的信号》第七季？,15,19,60w
9,如何看待日本GDP占世界比重下降到1950年的水平？,103,219,59w
10,特朗普称「不使用美元的国家，将被征收 100% 关税」，怎样看待他的观点？会对美国大选带来哪些影响？,242,490,59w
11,为什么《英雄联盟》不出类似《DOT2》游廊的功能？,88,98,59w
12,《黑神话：悟空》中蛇将被斩，作为主人的真武大帝为何没有登场呢？,18,53,57w
13,一五星级酒店禁止新能源车进地下停车库，酒店回应「出于消防安全考虑」，如何看待此事？是否合理？,185,373,56w
14,为什么10年前大家普遍认为iOS系统比安卓系统更好用？,32,58,56w
15,马斯克宣布火星计划，2 年内发射无人飞船，20 年内建城市，这一计划前景如何？可行性高吗？,63,111,55w
16,《少女前线 2：追放》项目组将裁员，此次裁员对企业有哪些改变？,25,35,55w
17,瓜迪奥拉有意在合同结束后离开曼城，你认为之后他将前往哪一家俱乐部？,26,30,55w
18,乌尔善导演的电影《异人之下》为什么扑街了?,183,218,55w
19,伊朗总统提议迁都，「德黑兰问题太多了」，迁都基于什么考量？迁移后问题就能解决吗？,25,58,55w
