,title,answer_count,follower_count,detail_text
0,重型无人机「九天」首次亮相珠海航展，最大载荷能力 6 吨，这款机型还有哪些亮点值得关注？,208,557,753w
1,比特币盘中突破 80000 美元，再创历史新高，狗狗币大涨超 13%，背后有哪些原因？,184,455,472w
2,中美两国正就交换月球样本进行谈判，但眼馋月壤的美国却至今没吭声，美国为什么不愿意交换月球样本？,75,169,235w
3,教育部要求坚决纠正幼儿园「小学化」等不规范办园行为，有何意义？幼儿园「小学化」对幼儿成长有哪些影响？,79,121,156w
4,可乐为什么变难喝了？,30,40,125w
5,什么车最适合长途自驾游，为什么？,312,1032,106w
6,以整个银河系的尺度来说，我们登上月球相当于我们从卧室走到哪里？,35,52,98w
7,将CT5百公里加速提升至5S内，有什么改装方案吗?,33,33,78w
8,在完全不会被带“抄袭鬼泣”节奏的情况下，后人有可能再开发出一款动作游戏吗？,29,32,75w
9,大学生郑州夜骑开封为什么会“爆火” ？其他地区会效仿吗？,150,239,74w
10,特朗普在亚利桑那州获胜，最终获 312 张选举人票，哈里斯获得 226 张，哪些信息值得关注？,118,364,74w
11,从「飞机不够飞两遍」到步入「双隐」时代，75 年来，你陪伴空军走过了怎样的路？有哪些故事想与我们分享？,79,210,74w
12,为什么四角星 ✨ 逐渐成为了代表 AI 的标志？,24,69,74w
13,如何评价刘循子墨导演，邓超、邓家佳、郑云龙主演的电影《胜券在握》?,19,20,71w
14,报道称普京已与特朗普通话，特朗普有兴趣就俄乌问题进行后续对话，释放了什么信号？未来俄乌局势将如何发展？,30,74,70w
15,天猫双 11 冲刺最后狂欢，怎样把握住双 11 最后的超绝优惠抢到 iPhone 16？,52,64,69w
16,如果安切洛蒂下课，谁还有能力执教现在的这支皇马？,30,32,68w
17,我们为何会有「攻击性」？,37,75,66w
18,马拉松爱好者平常都会做哪些力量训练？,17,33,64w
19,报道称特朗普拟再让美国退出《巴黎协定》，讨论将美国环保局总部及全体员工迁出华盛顿特区，有何影响？,64,176,63w
