,title,answer_count,follower_count,detail_text
0,如何看待英国卫报近期题为《K-Pop与韩国电影濒临崩溃危机》的报道？,209,862,579w
1,如何评价DeepSeek-OCR-2 模型？,33,285,303w
2,为啥《人民的名义》中高育良会喜欢《万历十五年》这本书？这本书有何魅力？,76,368,301w
3,美国冬季风暴已致至少 30 人死亡，超 100 万户断电，此次寒潮是如何形成的？情况为何如此严重?,161,339,256w
4,白银价格暴涨后日内急速回落，这轮行情结束了吗？这种暴涨暴跌说明了什么？,69,336,253w
5,Kimi 发布并开源 K2.5 模型，哪些信息值得关注？Agent 集群能力能做哪些任务？,19,153,213w
6,灵隐寺实行免票预约后 38 万人爽约，景区升级惩戒措施，如何看待此事？,48,118,175w
7,盒马误将水仙球当作食用百合卖致祖孙中毒送医，称「顾客误食也有一定责任」，是这样吗？法律上如何界定？,34,55,159w
8,安踏体育以 15 亿欧元收购 PUMA SE 29% 股权，怎样解读此次收购？会对双方发展有哪些影响？,18,57,152w
9,按照《甄嬛传》的原著，哪个妃子最为美貌？,41,174,139w
10,体制内小年轻的总希望作息规律，按时上下班，有的到点就走，这是不求上进吗？,149,369,120w
11,军人常服上的黄绳子究竟是什么？有什么意义？,16,53,111w
12,羽绒服充绒量200g保暖性怎么样?,30,139,104w
13,你见过的最神奇的朋友圈是什么？,5306,73908,85w
14,2个人合伙做生意，一个全投钱，一个全出力，大概投了100w，应该怎么分才公平?,41,104,84w
15,如何看待中国人吃掉了9成智利车厘子？为什么智利车厘子这么受中国人青睐？,618,1216,79w
16,网友买百草味 958 克坚果礼盒，其中只有 33 克坚果，有 660 克是饮料，这算是虚假宣传吗？,274,540,73w
17,家长打印 A0 尺寸超大版寒假试卷火了，如何评价这一做法？在提升学习兴趣上，家长们还做过哪些特别尝试？,17,38,73w
18,能看看你家小猫放松是什么样子的吗？,38,35,72w
19,福州到底是江南还是华南？,19,44,70w
