,title,answer_count,follower_count,detail_text
0,2024 巴黎奥运会女子 10 米跳台跳水决赛，全红婵夺金，陈芋汐摘银，如何评价这场比赛？,201,335,808w
1,湖南航空全面推行乘务员穿平底鞋执行航班，「空姐上班不再穿高跟鞋」，如何解读？会有更多航司跟进吗？,296,686,628w
2,郑钦文已手握四千万代言，夺冠后预计收入破亿，为什么网球运动员商业价值如此之高？,102,370,334w
3,下属单位一干部袁某某多次发布不当言论引众怒，国家体育总局对其开展调查，如何看待这一事件？,474,1217,308w
4,美媒最新民调显示哈里斯微弱领先特朗普，如何看待这一结果？距离最终大选还有三个月，哈里斯胜选几率有多大？,145,314,283w
5,董明珠称格力正开发「不要电」的空调，直连光伏实现 0 电费，这是个什么技术？未来空调真能「不用电」吗？,132,230,202w
6,为啥我感觉白人饭很好吃？,346,542,157w
7,潘展乐拿下巴黎奥运会自由泳 100 米和 4x100 米混合泳接力金牌，其在泳坛贡献会不会赶超孙杨?,65,155,136w
8,2024 巴黎奥运会篮球男子 1/4 决赛塞尔维亚加时 95:90 战胜澳大利亚，如何评价这场比赛？,23,31,95w
9,你最近最喜欢哪一句话?,27,40,64w
10,华为与北汽合作的享界 S9 发布，39.98 万起，余承东称多方面超越传统豪华车，如何评价这款车？,65,135,59w
11,2024 巴黎奥运会，随着国女排 2:3 土耳其，遗憾止步八强，三大球已经全部出局，未来如何发展？,52,132,59w
12,全红婵的实力究竟怎么样？,29,64,59w
13,2024 巴黎奥运会乒乓球男团 16 强赛中国 3：0 印度，马龙王楚钦配合默契，如何评价这场比赛？,62,122,58w
14,谢震业退出奥运会 200 米，因赛程安排交叉时间紧凑，全力保障接力，如何评价他的选择？,40,109,57w
15,人到底经历什么，才会大彻大悟？,697,1221,57w
16,有哪些一听就很温柔治愈的语录？,50,76,55w
17,七夕最适合送女朋友的礼物排行榜是什么？,63,103,50w
18,为什么有的人怎么努力也学不好高中数学？,793,1005,47w
19,2024 巴黎奥运会排球女子 1/4 决赛中国 2 ：3 不敌土耳其，无缘四强，如何评价本场比赛？,258,348,46w
