,title,answer_count,follower_count,detail_text
0,上海高考600分以上1250人，比去年多536人，涨幅75%，题简单了吗？为何分数线变化不大呢？,72,216,280w
1,特斯拉Robotaxi在美国正式发布，焕新Model Y已实现无人驾驶，会对汽车行业带来哪些影响？,238,499,220w
2,苏超比赛中，江苏盐城 17 岁门将数次「舍身」救球，盐城队 1:0 战胜宿迁队，如何评价的他的表现？,18,31,133w
3,韩红痛斥歌手耳机里都是提示音，反映了行业的哪些问题？提示音是歌手表演的必要辅助吗？,189,508,130w
4,哈利伯顿G7疑似跟腱断裂，对后续比赛和职业生涯有哪些影响？,20,23,128w
5,伊朗外长称尚未与以方达成停火，特朗普表示 24 小时后战争将正式宣布结束，此次停火能维持多久？,855,1214,125w
6,如何看待韩国今年将推广每周 4.5 天工作制？,161,327,121w
7,长沙申请全运会成功，未来几年会对长沙有哪些帮助？是否会加快长株潭融城以及经济发展？,40,58,108w
8,如果你有300万，你是用来供孩子读书，还是留着以后给ta买房或者保底？,26,88,104w
9,假如一个棋手在李昌镐的巅峰期把他打成孟获，但没有任何冠军头衔，其他成绩也很平庸，会有什么样的地位?,27,48,101w
10,特朗普称「以伊同意停火」后，德黑兰传出爆炸声，目前当地局势如何？美以真正目的是何？伊朗会就此罢休吗？,88,117,100w
11,打拐志愿者上官正义发现河南开封砖厂疑似控制数名残障人士从事苦力工作，当地警方已介入调查，如何看待此事？,35,63,100w
12,美团全面拓展即时零售，小象超市逐步覆盖所有一二线城市，美团优选将深耕生鲜食杂供应链，这将带来哪些改变？,78,235,100w
13,伊朗对卡塔尔和伊拉克的美军基地发动导弹袭击，美方可能会怎样应对？会对卡塔尔、伊拉克造成怎样的影响？,195,379,99w
14,所以现有技术是无法侦测和锁定击落 B-2 隐形轰炸机的吗？,21,23,97w
15,今年苏超这么火，明年会不会还这么火呀？,42,50,95w
16,看过《冰与火之歌》小说后，美剧《权力的游戏》中有哪些选角和改编令你不满意？,32,131,91w
17,既然原子之间并不挨在一起，而是有空隙的，是否意味着物质之间是没有接触的，那么我又如何会有感觉？,100,144,77w
18,和 30 万价格的车相比，10 万级别海鸥的辅助驾驶能安心用吗？,33,42,75w
19,普通人做自由职业者，该如何克服自己的平庸恶习，摆脱焦虑、自我不信任和拖延的恶性循环，走出低谷？,18,72,70w
