,title,answer_count,follower_count,detail_text
0,被港人「排斥」的内地优才主动降薪和加班，这对香港就业市场有什么影响？内卷浪潮下打工人该如何平衡自我？,355,881,753w
1,基金行业「退薪」坐实，部分央企系公司已启动，标准线 300 万元，这背后释放了哪些信号？有何警示作用？,189,484,475w
2,斗鱼罕见派发 3 亿美元现金，股价大涨超 42%，近 3 个多月股价涨 140%，哪些信息值得关注？,66,227,279w
3,数据显示，年轻人买房平均动用 2.6 个钱包，超 80% 受访者会为买房牺牲生活质量，如何看待？,161,304,227w
4,台儿庄战役最后不是徐州沦陷了吗？为什么还是大捷？,44,109,154w
5,如何看待近日山东一对小情侣带自行车乘地铁，一路上遭到身旁的大爷辱骂？,153,183,57w
6,日本城堡的攻城防御能力如何？,106,684,56w
7,网络作者为什么不能被别人知道真实身份？,705,2799,56w
8,我生病在家好久了，可以拍照给我看看外面的风景嘛?,29765,42244,55w
9,美国什么时候开始降息？,52,143,55w
10,网传嫦娥六号返回速度达到「31 马赫」，如何看待自媒体称「31马赫让世界其他各国都变得更文明」？,1222,2279,55w
11,沈阳发生持刀伤人案致 3 死 1 伤，警方通报「犯罪嫌疑人有精神病史」，其是否需要承担法律责任？,298,596,54w
12,京剧看着这么高级，为什么在古代是下九流呢？,48,51,54w
13,黄袍怪奎木狼那么爱百花羞公主，为什么得不到她的心?,736,1172,54w
14,2024 EWC 电竞世界杯小组赛 BLG 1:2 不敌 T1 遭淘汰，如何评价这场比赛？,221,235,53w
15,如何看待英伟达、微软和苹果的市值超过A股？,112,246,51w
16,现在的油车，只要加颗几千块的小电池，就能把油耗降低三分之一。为什么很多油车都不用这个技术呢？,393,1053,51w
17,丰田给员工涨薪，未来或将每周工作 4 天，未来丰田汽车在中国市场还能有竞争力吗，会不会变贵？,128,256,50w
18,40岁程序员老公被裁员了，还能找什么工作？,129,618,47w
19,多年不联系的大学同学突然加你微信借钱，借不借，借多少？,6713,7840,46w
