,title,answer_count,follower_count,detail_text
0,波特兰开拓者宣布将杨瀚森下放至球队发展联盟，如何评价这一决定？,283,396,953w
1,赵鸿刚扇耳光大赛输了，是因为通背拳不行，还是本人不行？,281,419,934w
2,据说，全球每天消耗 100 亿个二维码，二维码会不会很快被用完？,110,252,411w
3,在网上看到鳌太线因为气候恶劣被徒步界称为死亡线，我想问如果衣服穿得足够厚实，在这种低温环境下有用吗？,44,201,307w
4,268 斤男子为减肥做切胃手术，术后第三天在 ICU 身亡，具体情况如何？切胃手术适合所有肥胖者吗？,51,131,279w
5,如何看待王家卫说唐嫣「是个很装的人」，陈道明「阴阳同体」？,337,767,254w
6,网上流行的「认准副主任，不找老医生，不找有行政职务的」就医建议，靠谱吗？你平时去医院是怎么挑医生的？,72,428,229w
7,特朗普允许韩国在费城制造核动力潜艇，会对韩国海军实力有怎样的提升？,144,309,223w
8,AL对战T1的落幕，是否意味着LPL赛区的终结？,77,98,217w
9,十月零跑交付7万辆，小鹏交付4.2万辆，蔚来小米均交付4万辆，理想交付3.18万辆，如何评价各家表现？,31,84,201w
10,石家庄一医院组织全体医护每天下班后跑操，系锻炼身体，鼓励病人参与，如何评价这一举措？,61,116,168w
11,网友提名《风骚律师》《广告狂人》《继承之战》《硅谷》为美剧版四大名著，你认可吗？还有哪些美剧值得推荐？,88,368,136w
12,中华田园犬那么好养，为什么那么多人不愿意养呢？,116,282,128w
13,如何看待宝鸡文理学院放弃宝鸡大学，拟更名为陕西文理大学？,39,79,101w
14,怎样评价喜人奇妙夜二中《一颗螺丝钉》讲述的东北故事？唤起了你的哪些记忆？,17,24,97w
15,编剧古二发布《繁花》剧组王家卫和秦雯录音，这种行为算侵犯隐私吗？,68,156,95w
16,三元锂对比磷酸铁锂到底有什么优势？很多人却说磷酸铁锂比三元锂好，便宜了还能好？,93,193,93w
17,如何评价《崩坏星穹铁道》昔涟角色pv——再度和你？,31,32,89w
18,你认同童年的创伤需要一生治愈吗？,1502,2435,79w
19,倾家荡产去治疗患癌症的老人值得吗？,2821,8222,78w
