,title,answer_count,follower_count,detail_text
0,韩国财阀千金黄荷娜在柬埔寨被逮捕，被曝为电诈园区洗钱，吸毒史长达十余年，她被逮捕后将面临什么？,59,166,479w
1,京东年终奖投入涨幅超 70%，采销平均 25 薪，如何看待京东在员工薪酬福利方面的投入？,98,249,465w
2,监视员工的软件被公开叫卖，员工微信聊天像「裸奔」，使用这种软件违反了哪些法律？公司要承担怎样的责任？,173,554,318w
3,郑州中原保时捷中心疑似跑路，保时捷中国称正与警方核查事实，具体是怎么回事？车主该如何维护自己的权益？,45,177,251w
4,为什么我们的教材总把科学发现写成「从天而降」？数学、物理的思想革命去哪了？,119,540,232w
5,美国斩杀线为什么刚好在1/e附近？,267,2355,223w
6,南方黑芝麻糊被指「主角不是黑芝麻」，企业回应符合国标，这合理吗？算是虚假宣传吗？,63,118,213w
7,金正恩指导 8700 吨级核动力战略导弹潜艇建造工作，该潜艇对朝鲜海军有哪些重要意义？预计性能如何？,106,283,193w
8,为什么《喜羊羊与灰太狼》与《猫和老鼠》有截然不同的口碑？,595,2809,183w
9,美国宣布未来 18 个月不对中国芯片加征额外关税，会对芯片市场带来怎样的影响？,74,308,178w
10,金价、银价、铜价，均创历史新高，发生了什么？后市怎么走？,51,329,173w
11,拳头游戏回应『英雄联盟 2』传闻，称其非续作但皮肤可继承，这是出于怎样的商业考量？,31,60,144w
12,夫妻俩公考虚假报名 758 次获刑，「注水」刷人数围岗非法获利 2 万多元，这种行为影响有多大？,79,331,109w
13,陈芋汐接受水均益采访，回忆被持续网暴甚至被「开盒」造谣「有后台」的经历，对此你怎么看？,25,46,107w
14,法国高调宣布建造新航母，美国称将扩大航母规模，航母建造计划背后的大国博弈逻辑是什么？,28,70,94w
15,朱孝天举报会对五月天及所属公司「相信音乐」带来怎样的影响？,33,87,92w
16,美加墨世界杯决赛票价暴涨 7 倍引不满，原因何在？,15,22,91w
17,BLG 战队在德杯惨遭 OMG 横扫，次局人头比 3:24，如何评价 BLG 此次表现？,25,31,88w
18,大领导跟我说直属领导坏话，我什么也没说，为什么最后我被干掉了？,24,56,79w
19,为什么内蒙古大草原上以羊肉为主食，有那么好的羊，却很少听说内蒙古的羊汤有什么名气？,106,154,69w
