,title,answer_count,follower_count,detail_text
0,男子驱车在靠近长白山沿途偶遇东北虎，大声说「本地的」后老虎反倒靠的更近了，遇到野生老虎应该如何应对？,128,259,665w
1,某农商行员工爆料称被要求退回三年过节费，怎么回事？公司这种要求合理吗？,70,235,316w
2,有没有可能以后飞机也是用电，不是用油？,147,284,262w
3,遭美国网络攻击的「北京时间」是什么？美国为何会盯上北京时间？会对中国产生哪些实际影响？,60,208,252w
4,iphone17播放孤勇者闪退什么原因？,162,311,196w
5,「月亮姐姐」宣布离开央视少儿频道，加入央视频成立个人工作室，如何看待她的选择？,29,87,178w
6,如何看待有网友质疑 S15 瑞士轮 Crisp 抽签疑似作弊？所谓「冷热球」能实现吗？,107,131,162w
7,如何评价丘成桐的《悼念杨振宁教授》一联？,40,203,159w
8,高分进口电影《一战再战》于 10 月 17 日在国内上映，为何这部电影在国内会遭遇两极化的评价？,44,117,146w
9,新能源车成酒店 「圈外对手」，国庆服务区睡车游客激增，千元酒店房间遇冷，这会颠覆传统旅游住宿格局吗？,33,79,109w
10,男子应聘船员出海，严重晕船后自缢身亡，家属索赔两百万被驳回，如何从法律角度解读？,108,337,107w
11,2026 年广东省考公告发布，笔试时间较往年提前约 3 个月，报考年龄放宽，你准备得怎么样？,16,42,105w
12,法国不到一年内被三次下调信用评级，对欧盟、法国经济以及欧债有何影响？,25,52,104w
13,何炅自曝又近视又老花，有人说近视和老花可「互相抵消」，还有人说成年人近视度数不会涨，这些说法是真的吗？,140,501,103w
14,特朗普释放多项关税缓和信号，或为在最高法院败诉做准备，一旦败诉对美国和全球经济有何影响？,28,68,97w
15,多家银行宣布将清理长期不动账户，余额 10 元以下或受限，此举出于哪些考量？对用户有哪些影响？,98,380,91w
16,安卓（Android）是否有一些冷门但却逆天的手机应用（App）呢？,286,29715,75w
17,无大算力时，作为学生，LLM 还有哪些值得做的研究？,15,242,74w
18,宋朝的文明水平是被低估了吗？为什么？,33,295,74w
19,如何看待最新发布的 iQOO 15，蓝厂「跨代旗舰」都有哪些亮点值得关注？,33,38,73w
