,title,answer_count,follower_count,detail_text
0,盒马被立案调查，有网友称在购买的馄饨中吃出整只蟑螂，具体情况如何？可能是哪些环节出现问题？,140,352,1324w
1,星舰第八次试飞，升空后不久第二级飞船失联，可能是出现了哪些问题？,137,204,749w
2,特斯拉中国 2 月份批发销量 30688 辆，环比下降五成，导致它下降的原因有哪些？,247,408,611w
3,为什么马拉松比赛可以占用公共资源，马拉松可以封路，暴走为什么不可以封路？,140,217,328w
4,哪些海南美食没有走出海南？为什么？,310,497,309w
5,2 月新能源销量小鹏狂飙蔚来掉队，什么原因？,59,120,222w
6,美国利用商业航天技术在月球上接收 GPS 信号实现人类首次导航，有哪些重要意义？,49,150,209w
7,为什么宇宙的最低温只有-273.15度，最高温却高达1.4亿亿亿亿度?,155,457,201w
8,代表建议将禁止就业年龄歧视纳入法律，破解 35 岁+就业困境，是否具有可行性？,140,215,201w
9,如何看待张继科表示「王曼昱不一定能打赢我」，一般来说乒乓球顶尖女选手打退役顶尖男选手有多大胜算？,43,70,180w
10,身体没啥事，不小心吃了颗布洛芬会怎样？ ​?,71,220,170w
11,美国一公司通过基因工程培育出具有猛犸象特征的老鼠，并称「有望在2028年复活猛犸象」，这能实现吗？,85,337,161w
12,「假靳东」骗局频现，靳东建议 AI 换脸立法，能否有效打击 AI 诈骗？,38,50,140w
13,为什么有人喜欢开个房一个人在酒店待一天？,122,420,123w
14,杨戬和哪吒都是12金仙的徒弟，为啥都认为杨戬比哪吒厉害?,77,139,119w
15,教练说「燕麦片的碳水化合物含量其实很高，不能减肥」，是真的吗？那为什么很多人减脂期还是会选择燕麦片？,49,172,110w
16,韩国发生「炮弹坠入民宅」事件，已致至少 15 人受伤，现场情况如何？为何会发生此类事故？,316,562,109w
17,AMD RX 9070XT正式解禁，如何评价 RX 9070XT？,27,36,106w
18,如何评价中国团队发布的通用型 AI Agent 产品 Manus？会成为下一个爆款吗？,768,3139,98w
19,刘慈欣原著《带上她的眼睛》电影备案，陈思诚监制，大家觉得男女主演会是谁?,28,41,92w
