,title,answer_count,follower_count,detail_text
0,中国游客因捡食当地蘑菇集体中毒，击穿瑞典急救系统，从云南菌子到瑞典蘑菇，为何有人会执着于「舌尖冒险」？,118,235,464w
1,如何看待 2025 国自然要求成果论文 20%以上要发表在国内科技期刊？,111,379,302w
2,新版英语教材被指太难，有家长称「单词量增加太多，且没有音标」，到底有多难？学生和教师接受程度怎么样？,49,116,233w
3,男子每天从张家口坐高铁去北京上班，往返通勤 6 小时，每月交通费 4000 元，怎样看待他的选择？,95,192,203w
4,一年学费5000，家里却让我贷一万，还让我自己还，我该不该办助学贷款?,169,213,197w
5,新一届梦百合杯，是因为卞相壹而难产了吗？,54,99,190w
6,网约车行业掀起「降佣潮」，多家网约车平台宣布调整抽成比例，为什么没引起网约车司机们的「集体欢呼」？,26,55,153w
7,年轻人结婚开始一切从简，没接亲、没司仪、放个短片直接干饭，如何看待这种趋势？为啥「极简婚礼」能受欢迎？,93,194,147w
8,为什么会发生闯关东这种事，原住民为什么不能充分开发关东，以至于让外省人来开发？,49,134,138w
9,山东人为什么习惯把「享福」挂在嘴边？反映了怎样的地域文化？,31,42,132w
10,美团二季度经调整净利大跌近九成，王兴称「预计三季度核心本地商业重大亏损」，原因真是外卖大战吗？,41,98,129w
11,杭州上空出现「蓝色长廊」，被网友称是传说中的鹊桥，天文爱好者解读这是「曙条」，什么是曙条？怎样形成的？,38,93,126w
12,作家马伯庸吐槽儿子语文不好，「忍辱负重把孩子送到作文班」，为何作家也教不了孩子？,19,38,113w
13,男子找第三方贷款 8.3 万被收 2.8 万服务费，这合法吗？办理贷款时要注意哪些问题？,21,48,105w
14,学术界相比于产业界的优势在哪？,95,392,102w
15,为什么这几年的奥特曼没意思了？,39,53,99w
16,37 岁林书豪宣布退役，如何评价他的职业生涯？,16,37,98w
17,苹果、三星发出律师函要求小米停止「偷袭营销」，什么是偷袭营销？小米会因此受到处罚吗？,276,669,97w
18,全家 26 人花 96 万坐「熊猫专列」，实际餐食与宣传不符，旅行社称视频中为摆拍道具，这算欺诈吗？,167,543,95w
19,iPhone 17 Pro 被吐槽「长得像充电宝」，这种「丑但实用」的创新你会买单吗？,173,352,87w
