,title,answer_count,follower_count,detail_text
0,旺旺董事长发内部信，直言遭遇重大经营危机，没有贡献的员工要被淘汰，这种方式能救企业吗？,181,335,1026w
1,河南平顶山汝河民堤、周口贾鲁河堤坝、许昌清潩河三地发生溃口，这些溃口是如何发生的？目前情况如何？,40,139,389w
2,如何看待周星驰经纪人内涵《欢迎来龙餐馆》偷票房《功夫女足》，《龙餐馆》回应系影院操作失误?,170,255,306w
3,胖东来生活广场店将关闭，周围商户称超市赚钱房东才涨租，于东来称无论钱多钱少，公平正义是底线，如何解读？,116,269,158w
4,家长花上万元送孩子进「吃苦夏令营」，孩子进山砍柴、喂猪、挖土豆，这种教育方式是否可取？真能纠正陋习吗？,88,142,134w
5,如何评价零宣发国产动画电影《牛来》上映，建模粗糙惊呆观众，9 天累计票房仅为 7169 元？,488,923,130w
6,美国将对进口无人机及零部件征收最高 100%关税，将如何影响全球产业？,30,75,130w
7,为什么大家公认天坑专业是土木而不是化工？,49,141,123w
8,《影之刃零》预售开启，162万愿望单的它能复刻《黑神话：悟空》的奇迹吗？,53,66,120w
9,同样面对负面舆论，为什么《八仙！》的票房预计能达到20亿，而《雄狮少年》系列的票房加一起才3亿多？,75,81,117w
10,如何评价北京协和医院住院医用AI解决了困扰数学界的难题Crouzeix猜想？,183,1066,114w
11,《明末：渊虚之羽》竟然在China Joy当选2026年度游戏，时过境迁，你对这游戏的看法有反转么？,139,145,104w
12,闪迪抛出「毛利率看80%、投后剩余现金100%回馈股东」目标，从哪来的底气？如何解读背后的战略逻辑？,16,39,104w
13,有没有可能，地球才是宇宙的中心？,53,68,98w
14,比格披萨创始人评论「看你照片破戒了」引发争议，后回应称开玩笑，作为品牌创始人他这一发言合适吗？,54,106,97w
15,山西医科大学第一医院通报「实习护士晒患者隐私照」，终止当事人实习资格，你认为这一处罚合理吗？,39,113,96w
16,普京首次登上南千岛群岛视察民生产业，高市早苗激烈抗议，称是日本固有领土，俄方强硬回击，如何看待此事？,29,58,95w
17,贾平凹的废都算是低俗小说吗？,51,81,94w
18,男子健身房指导女友被场馆教练认定为外来私教，要求看结婚证，否则就办理退卡，这合理吗？健身房有权核查吗？,169,349,93w
19,小伙为控体重改喝 「0糖」「无糖」饮料一年多，体重不降反增血脂也升高了，这是什么原因？,319,581,81w
