,title,answer_count,follower_count,detail_text
0,如何评价霍奇猜想（七大千禧难题之一）疑似被 OpenAI 解决？,148,536,1468w
1,山东青岛市北海造船有限公司一艘外籍货轮靠港维修期间起火，已造成 20 人遇难，目前情况如何？,157,361,1437w
2,如何看待大二学生因用名牌手机被取消资助后威胁要曝光，现愿意更换手机、到资助者亲戚家的店里打工挣钱？,543,952,896w
3,酒店为什么会有三小时钟点房？,1273,2096,721w
4,如何评价正式发布的 DeepSeek V4.1 Flash？,121,418,552w
5,如何看待勇哥餐饮被指维护让员工干 17 个小时的老板？,993,1534,373w
6,维密一员工称请假陪患癌母亲做手术遭拒，提出辞职领导却马上批准，如何看待此事？遇到公司拒假该怎么办？,92,251,219w
7,如何评价消息人士称也门胡塞武装已控制红海沿岸城市穆哈？这对当前局势意味着什么？,47,98,214w
8,白人饭的魅力主要是省时还是健康？,73,139,201w
9,如何评价电影《燃烧吧，爸爸》编剧发长文「杀死它的凶手，却连我们的电影都没看过」？,714,860,196w
10,荷马《奥德赛》中 12 名女奴被处死的情节，为什么被诺兰删掉了？这一改编有什么用意？,36,116,192w
11,云南昆明警方通报「因工资低往鲜花饼里吐痰」，造谣者已被行拘，这类为博流量编造谣言的现象为何屡屡发生？,164,265,187w
12,既然AI一分钟就能开发出像《开心消消乐》《植物大战僵尸》这样的游戏，为什么排行榜上还是这些老游戏？,44,39,184w
13,《我的前半生》为何那么会算计的凌玲，两段婚姻都失败了？,43,105,181w
14,《王者荣耀》衍生作《王者万象棋》9月10号全平台公测，你的游玩体验如何？,87,118,173w
15,iPhone Duo 靠雾面纳米玻璃降低折痕可见度，怎样看待这种方式？要完全消除折叠痕还有哪些难点？,46,104,172w
16,为什么身为成年人的我，基本功嘎嘎结实，游泳却只能游25米就游不动了？,163,239,172w
17,为什么那么多人蒸馏投资大师，到现在还没有真能替代巴菲特的 skill 呢？,38,111,171w
18,韩国指控长鑫盗窃三星工艺，国产内存份额达 10%，知识产权纠纷会如何影响其发展？,27,66,140w
19,如何看待三星嘲讽苹果 iPhoneDuo，称其「热剩饭」？苹果这个时候为什么一定要推出折叠屏手机？,107,176,139w
